timestamp,cycle,single_module_detected,centroid_x,centroid_y,euclidean_from_start,manhattan_from_start,x_disp_from_start,y_disp_from_start
2025-09-02T18:37:53.200175,1,1,436.6666666666667,153.66666666666666,0.000000,0.000000,0.000000,0.000000
2025-09-02T18:37:54.063646,2,1,414.6666666666667,129.33333333333334,32.804133,46.333333,-22.000000,-24.333333
2025-09-02T18:37:54.927754,3,1,412.6666666666667,117.66666666666667,43.266615,60.000000,-24.000000,-36.000000
2025-09-02T18:37:55.787910,4,1,409.3333333333333,101.0,59.337079,80.000000,-27.333333,-52.666667
2025-09-02T18:37:56.650198,5,1,405.3333333333333,94.66666666666667,66.804025,90.333333,-31.333333,-59.000000
2025-09-02T18:37:57.512470,6,1,401.3333333333333,89.0,73.690042,100.000000,-35.333333,-64.666667
2025-09-02T18:37:58.373861,7,1,396.0,81.33333333333333,82.981256,113.000000,-40.666667,-72.333333
2025-09-02T18:37:59.236236,8,1,385.3333333333333,70.33333333333333,97.875204,134.666667,-51.333333,-83.333333
2025-09-02T18:38:00.117526,9,1,380.3333333333333,60.0,109.301825,150.000000,-56.333333,-93.666667
2025-09-02T18:38:00.986965,10,1,373.6666666666667,47.0,123.882112,169.666667,-63.000000,-106.666667
