timestamp,cycle,single_module_detected,centroid_x,centroid_y,euclidean_from_start,manhattan_from_start,x_disp_from_start,y_disp_from_start
2025-09-02T18:32:33.250455,1,1,352.6666666666667,190.0,0.000000,0.000000,0.000000,0.000000
2025-09-02T18:32:34.114064,2,1,345.5,188.66666666666669,7.289643,8.5,-7.166667,-1.333333
2025-09-02T18:32:34.973922,3,1,339.5,183.83333333333334,14.388460,19.166667,-13.0,-6.166667
2025-09-02T18:32:35.838763,4,1,335.5,177.5,21.641652,30.166667,-17.666667,-12.5
2025-09-02T18:32:36.700279,5,1,332.3333333333333,173.5,30.232893,41.833333,-25.333333,-16.5
2025-09-02T18:32:37.562782,6,1,329.8333333333333,170.0,39.674369,54.333333,-34.166667,-20.166667
2025-09-02T18:32:38.424380,7,1,328.5,167.16666666666669,47.951944,65.0,-42.166667,-22.833333
2025-09-02T18:32:39.285639,8,1,327.8333333333333,165.5,53.502077,72.833333,-46.666667,-26.166667
2025-09-02T18:32:40.147526,9,1,326.8333333333333,162.16666666666669,61.570646,84.666667,-52.5,-27.833333
2025-09-02T18:32:41.010109,10,1,326.0,158.5,72.532368,100.333333,-60.833333,-31.5
